class_idx,class_name,precision,recall,f1,support
0,Corn___Common_Rust,0.7628205128205128,0.9916666666666667,0.8623188405797101,120
1,Corn___Gray_Leaf_Spot,0.8888888888888888,0.15384615384615385,0.2622950819672132,52
2,Corn___Healthy,0.9913793103448276,0.9829059829059829,0.9871244635193134,117
3,Corn___Northern_Leaf_Blight,0.7264150943396226,0.7777777777777778,0.7512195121951221,99
4,Potato___Early_Blight,0.978021978021978,0.89,0.9319371727748691,100
5,Potato___Healthy,1.0,0.1875,0.3157894736842105,16
6,Potato___Late_Blight,0.8521739130434782,0.98,0.9116279069767441,100
7,Rice___Brown_Spot,0.5172413793103449,0.4838709677419355,0.5000000000000001,62
8,Rice___Healthy,0.7943262411347518,0.7466666666666667,0.7697594501718213,150
9,Rice___Leaf_Blast,0.5596330275229358,0.6161616161616161,0.5865384615384615,99
10,Rice___Neck_Blast,1.0,0.99,0.9949748743718593,100
11,Sugarcane__Bacterial Blight,0.6,0.9,0.7200000000000001,10
12,Sugarcane__Healthy,0.9090909090909091,1.0,0.9523809523809523,10
13,Sugarcane__Red Rot,0.4,0.6,0.48,10
14,Wheat___Brown_Rust,0.9204545454545454,0.8901098901098901,0.9050279329608938,91
15,Wheat___Healthy,0.9658119658119658,1.0,0.9826086956521739,113
16,Wheat___Yellow_Rust,0.978494623655914,0.978494623655914,0.978494623655914,93
