class_idx,class_name,precision,recall,f1,support
0,Corn___Common_Rust,0.0,0.0,0.0,120
1,Corn___Gray_Leaf_Spot,0.009174311926605505,0.019230769230769232,0.012422360248447204,52
2,Corn___Healthy,0.0,0.0,0.0,117
3,Corn___Northern_Leaf_Blight,0.01680672268907563,0.020202020202020204,0.01834862385321101,99
4,Potato___Early_Blight,0.0,0.0,0.0,100
5,Potato___Healthy,0.0,0.0,0.0,16
6,Potato___Late_Blight,0.011235955056179775,0.01,0.010582010582010581,100
7,Rice___Brown_Spot,0.0,0.0,0.0,62
8,Rice___Healthy,0.0,0.0,0.0,150
9,Rice___Leaf_Blast,0.0,0.0,0.0,99
10,Rice___Neck_Blast,0.018867924528301886,0.02,0.019417475728155338,100
11,Sugarcane__Bacterial Blight,0.0,0.0,0.0,10
12,Sugarcane__Healthy,0.0,0.0,0.0,10
13,Sugarcane__Red Rot,0.0,0.0,0.0,10
14,Wheat___Brown_Rust,0.5263157894736842,0.989010989010989,0.6870229007633588,91
15,Wheat___Healthy,0.7297297297297297,0.9557522123893806,0.8275862068965517,113
16,Wheat___Yellow_Rust,0.8303571428571429,1.0,0.9073170731707317,93
