class_idx,class_name,precision,recall,f1,support
0,Corn___Common_Rust,0.9915966386554622,0.9833333333333333,0.9874476987447698,120
1,Corn___Gray_Leaf_Spot,0.94,0.9038461538461539,0.9215686274509804,52
2,Corn___Healthy,0.9831932773109243,1.0,0.9915254237288135,117
3,Corn___Northern_Leaf_Blight,0.9583333333333334,0.9292929292929293,0.9435897435897437,99
4,Potato___Early_Blight,1.0,0.99,0.9949748743718593,100
5,Potato___Healthy,0.8421052631578947,1.0,0.9142857142857143,16
6,Potato___Late_Blight,0.9896907216494846,0.96,0.9746192893401014,100
7,Rice___Brown_Spot,0.7647058823529411,0.41935483870967744,0.5416666666666666,62
8,Rice___Healthy,0.8364779874213837,0.8866666666666667,0.86084142394822,150
9,Rice___Leaf_Blast,0.6271186440677966,0.7474747474747475,0.6820276497695853,99
10,Rice___Neck_Blast,1.0,0.99,0.9949748743718593,100
11,Sugarcane__Bacterial Blight,0.875,0.7,0.7777777777777777,10
12,Sugarcane__Healthy,1.0,0.9,0.9473684210526316,10
13,Sugarcane__Red Rot,0.75,0.9,0.8181818181818182,10
14,Wheat___Brown_Rust,0.9479166666666666,1.0,0.9732620320855615,91
15,Wheat___Healthy,0.9826086956521739,1.0,0.9912280701754386,113
16,Wheat___Yellow_Rust,1.0,1.0,1.0,93
