experiment,class_idx,class_name,precision,recall,f1,support,overall_accuracy,overall_accuracy_top5,overall_loss
ResNet18_Frozen_results,0,Corn___Common_Rust,0.0,0.0,0.0,120,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,1,Corn___Gray_Leaf_Spot,0.0,0.0,0.0,52,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,2,Corn___Healthy,0.0,0.0,0.0,117,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,3,Corn___Northern_Leaf_Blight,0.008333333333333333,0.010101010101010102,0.0091324200913242,99,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,4,Potato___Early_Blight,0.0,0.0,0.0,100,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,5,Potato___Healthy,0.0,0.0,0.0,16,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,6,Potato___Late_Blight,0.06363636363636363,0.07,0.06666666666666667,100,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,7,Rice___Brown_Spot,0.0,0.0,0.0,62,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,8,Rice___Healthy,0.0,0.0,0.0,150,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,9,Rice___Leaf_Blast,0.0,0.0,0.0,99,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,10,Rice___Neck_Blast,0.0,0.0,0.0,100,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,11,Sugarcane__Bacterial Blight,0.0,0.0,0.0,10,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,12,Sugarcane__Healthy,0.0,0.0,0.0,10,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,13,Sugarcane__Red Rot,0.0,0.0,0.0,10,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,14,Wheat___Brown_Rust,0.56875,1.0,0.7250996015936254,91,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,15,Wheat___Healthy,0.9775280898876404,0.7699115044247787,0.8613861386138614,113,18.107302533532042,50.968703427719824,11.206046831057074
ResNet18_Frozen_results,16,Wheat___Yellow_Rust,1.0,0.6129032258064516,0.76,93,18.107302533532042,50.968703427719824,11.206046831057074
