class_idx,class_name,precision,recall,f1,support
0,Corn___Common_Rust,0.0,0.0,0.0,120
1,Corn___Gray_Leaf_Spot,0.0,0.0,0.0,52
2,Corn___Healthy,0.0,0.0,0.0,117
3,Corn___Northern_Leaf_Blight,0.008333333333333333,0.010101010101010102,0.0091324200913242,99
4,Potato___Early_Blight,0.0,0.0,0.0,100
5,Potato___Healthy,0.0,0.0,0.0,16
6,Potato___Late_Blight,0.06363636363636363,0.07,0.06666666666666667,100
7,Rice___Brown_Spot,0.0,0.0,0.0,62
8,Rice___Healthy,0.0,0.0,0.0,150
9,Rice___Leaf_Blast,0.0,0.0,0.0,99
10,Rice___Neck_Blast,0.0,0.0,0.0,100
11,Sugarcane__Bacterial Blight,0.0,0.0,0.0,10
12,Sugarcane__Healthy,0.0,0.0,0.0,10
13,Sugarcane__Red Rot,0.0,0.0,0.0,10
14,Wheat___Brown_Rust,0.56875,1.0,0.7250996015936254,91
15,Wheat___Healthy,0.9775280898876404,0.7699115044247787,0.8613861386138614,113
16,Wheat___Yellow_Rust,1.0,0.6129032258064516,0.76,93
