class_idx,class_name,precision,recall,f1,support
0,Corn___Common_Rust,0.8805970149253731,0.9833333333333333,0.9291338582677166,120
1,Corn___Gray_Leaf_Spot,0.0,0.0,0.0,52
2,Corn___Healthy,0.8931297709923665,1.0,0.9435483870967742,117
3,Corn___Northern_Leaf_Blight,0.6870229007633588,0.9090909090909091,0.7826086956521738,99
4,Potato___Early_Blight,0.8878504672897196,0.95,0.9178743961352657,100
5,Potato___Healthy,0.0,0.0,0.0,16
6,Potato___Late_Blight,0.8073394495412844,0.88,0.8421052631578948,100
7,Rice___Brown_Spot,0.0,0.0,0.0,62
8,Rice___Healthy,0.49019607843137253,1.0,0.6578947368421052,150
9,Rice___Leaf_Blast,0.5,0.010101010101010102,0.019801980198019806,99
10,Rice___Neck_Blast,0.9259259259259259,1.0,0.9615384615384615,100
11,Sugarcane__Bacterial Blight,0.0,0.0,0.0,10
12,Sugarcane__Healthy,0.0,0.0,0.0,10
13,Sugarcane__Red Rot,0.0,0.0,0.0,10
14,Wheat___Brown_Rust,0.9333333333333333,0.7692307692307693,0.8433734939759036,91
15,Wheat___Healthy,0.7058823529411765,0.9557522123893806,0.81203007518797,113
16,Wheat___Yellow_Rust,0.9302325581395349,0.8602150537634409,0.893854748603352,93
